CID,카테고리명,KDC분류,KDC분류명
38441,창업/취업/은퇴,32,경제학
40205,벤처/인터넷창업,32,경제학
42792,은퇴설계,32,경제학
39742,창업정보,32,경제학
39768,취업정보,32,경제학
38594,CEO/비즈니스맨을 위한 능력계발,32,경제학
40214,간부학/리더십,32,경제학
40096,기획/정보/문서관리,32,경제학
40212,성공학/경력관리,32,경제학
41279,시간관리,32,경제학
40729,화술/협상/프레젠테이션,32,경제학
77542,고등학교참고서,37,교육학
77544,고등-문제집,37,교육학
77635,과학탐구,37,교육학
77636,기타영역,37,교육학
77634,사회탐구,37,교육학
77632,수리영역,37,교육학
131538,수학영역,41,수학
77631,언어영역,70,언어
77633,외국어영역,37,교육학
124820,한국사,37,교육학
77550,고등영어전문교재,74,영어
77729,단어/숙어,74,영어
77731,독해/작문,74,영어
77732,말하기/듣기,74,영어
77730,문법,74,영어
77733,NEAT(국가영어능력평가),74,영어
77543,고등-자습서,37,교육학
77629,과학,37,교육학
77625,국어,37,교육학
77630,기타,37,교육학
77628,사회문화,37,교육학
77627,수학,41,수학
77626,영어,74,영어
77549,고등학교 출판사별,37,교육학
77689,강남교육,37,교육학
78095,교과문학,80,문학
78096,G&G수학,41,수학
79232,개념원리_수능기적,37,교육학
148851,RPM HighQ,37,교육학
131162,개념원리_TOP Level,37,교육학
144647,9교시수학,41,수학
78173,고등RPM,37,교육학
78174,고등와투와,37,교육학
78175,고등기본서,37,교육학
77668,개념원리,37,교육학
77669,골드교육,37,교육학
132529,계란 한판,37,교육학
78170,OneUP모의고사,37,교육학
78171,Oneup전국연합,37,교육학
78172,씨뮬모의고사,37,교육학
86474,씨뮬_고3,37,교육학
86475,씨뮬_고2,37,교육학
86476,씨뮬_고1,37,교육학
79480,골드스터디 월별 모의고사 족보 문제집,37,교육학
79979,만점학력평가,37,교육학
78078,수능모의고사,37,교육학
77696,골드스터디,37,교육학
132493,곰스쿨,37,교육학
132494,핵심수능,37,교육학
77659,교학사,37,교육학
120900,교과서유형충전100%,37,교육학
78256,스피드 특강,37,교육학
78257,X Power,37,교육학
78258,통,37,교육학
78259,청출어람,37,교육학
78260,형설지공,37,교육학
85589,Smart수능적중,37,교육학
78176,리더스,37,교육학
78177,자습서,37,교육학
78178,빅뱅,37,교육학
77667,금성출판사,37,교육학
77687,길토래비,37,교육학
78099,3점짜리,37,교육학
78100,4점짜리,37,교육학
87747,대학별연구서,37,교육학
87748,대학별봉투모의고사,37,교육학
87746,김영환적성검사(수시플랜),37,교육학
77726,김찬휘영어연구소,74,영어
78014,변형독해,74,영어
78015,수능기출문제집,74,영어
89136,깊은생각,37,교육학
89137,한석원모의고사,37,교육학
77673,꿈을담는틀,37,교육학
123364,Catch E,37,교육학
113043,완성(고등),37,교육학
113044,절대개념(고등),37,교육학
140128,듀얼수학,41,수학
115086,보카콕(고등),37,교육학
115087,꿈틀고등,37,교육학
78147,꿈틀고등,37,교육학
78148,딱고등,37,교육학
78149,단감고등,37,교육학
78150,모든것,37,교육학
78151,연개수문,37,교육학
78152,명강,37,교육학
78153,대박,37,교육학
78154,꿈틀첫,37,교육학
78155,단번에끝내기,37,교육학
78156,시크릿,37,교육학
78157,보카콕,37,교육학
78158,수능클릭,37,교육학
78159,엑설런트명강,37,교육학
78160,First수능,37,교육학
78161,문학자습서,80,문학
121577,심쿵 명강,37,교육학
116138,단박특강,37,교육학
112770,아르케수학,41,수학
131161,국어는꿈틀,37,교육학
155764,밥,37,교육학
155765,고난도 신유형,37,교육학
140077,기본완성,37,교육학
120544,나는국어,37,교육학
120547,수저국어,37,교육학
77680,내신플러스,37,교육학
78127,내신플러스,37,교육학
78128,별난,37,교육학
78079,이젠,37,교육학
78080,엔설루터,37,교육학
77695,노잉,37,교육학
77705,노피하이에듀케이션,37,교육학
78051,노하,37,교육학
108733,그래머Expert,37,교육학
108734,자습서/평가문제집,37,교육학
87624,필통영문법,37,교육학
131900,다빈출코드,37,교육학
174216,EBS변형문제,37,교육학
89138,엑스퍼트,37,교육학
175609,천문장,37,교육학
152448,하이엔드,37,교육학
123072,기강잡고,37,교육학
110341,특별한1등급,37,교육학
155766,올클,37,교육학
155767,구문빅데이터,37,교육학
155768,그래머존,37,교육학
155769,문마고,37,교육학
155770,얇고빠른,37,교육학
155771,내신100신,37,교육학
155772,수능유형PICK,37,교육학
78052,리딩튜터,37,교육학
78053,빠른바른독해,37,교육학
78054,리스닝튜터,37,교육학
78055,능률보카,37,교육학
78056,맞수,37,교육학
78057,수능에이드,37,교육학
78058,자습서,37,교육학
78059,내신평정,37,교육학
78060,상승,37,교육학
78061,수능만만,37,교육학
78062,리딩엑스퍼트,37,교육학
78063,리스닝엑스퍼트,37,교육학
131185,스코어,37,교육학
77704,능률교육,37,교육학
119839,단단북스,37,교육학
119849,카이,37,교육학
77683,대성교육출판,37,교육학
78122,대성 마이맥,37,교육학
120955,대성학력개발연구소,37,교육학
120956,수능 대파,37,교육학
155896,논술고사 해설집,37,교육학
123073,N프리미엄,37,교육학
123071,마이맥,37,교육학
127811,단기특강,37,교육학
134436,수학의 원리,41,수학
132495,수능결단,37,교육학
77658,두산동아,37,교육학
149875,싸플(고등),37,교육학
149876,날선유형,37,교육학
149877,코드엠,37,교육학
149878,올쏘(고등),37,교육학
149879,절대등급,37,교육학
78261,하이탑,37,교육학
78262,뜯어먹는,37,교육학
78263,패싱코드,37,교육학
78264,기적내신,37,교육학
78265,수능샤워,37,교육학
78266,태그멘토,37,교육학
175854,빠작국어(고등),37,교육학
123736,임팩트,37,교육학
164787,날선유형 스타트,37,교육학
164788,올쏘 내신강자,37,교육학
164789,날선개념,37,교육학
164790,수프림,37,교육학
114182,씨리얼기출,37,교육학
122638,미리보는EBS,37,교육학
155897,압축정리,37,교육학
155898,독해가 되는,37,교육학
155899,듣기는 실전이다,37,교육학
155900,실전특강,37,교육학
155901,원포인트,37,교육학
